id,skill_name,skill_category,activity_name,level,description,date,created_at,updated_at
local-10,Affinity Designer,Languages & Tools,Project Work,1,Creating icons for several open source projects and designing stickers for personal use.,2018-04-01,2018-04-01T00:00:00.000Z,2018-04-01T00:00:00.000Z
local-11,Arduino,Platforms,Project Work,2,My latest project is plantbuddy which is actually based on the nodeMCU chip but also programmed using the Arduino IDE.,2018-08-01,2018-08-01T00:00:00.000Z,2018-08-01T00:00:00.000Z
local-12,Arduino,Platforms,Project Work,2,Interested in self driving cars I started building my own based platform named robby5 based on cheap components and a hybrid setup between Arduino and Raspberry Pi for controlling the car autonomously.,2017-04-01,2017-04-01T00:00:00.000Z,2017-04-01T00:00:00.000Z
local-13,Arduino,Platforms,Project Work,3,During my time in university I build several projects in university and in free time with friends with more complex programs. One example was a signal processing application that used a microphone to detect clapping.,2010-03-01,2010-03-01T00:00:00.000Z,2010-03-01T00:00:00.000Z
local-14,Azure,Platforms,Project Work,3,Focusing on PaaS and serverless based solutions I have built applications using most of the base services. Large focus on JavaScript based functions and solution architecture.,2018-08-01,2018-08-01T00:00:00.000Z,2018-08-01T00:00:00.000Z
local-15,Azure,Platforms,Self Study,2,First complete solution architecture for a service on Azure using managed only services.,2018-01-01,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z
local-16,Azure,Platforms,Self Study,1,First contact with Azure and figuring out how to host a Node.js application. Did a presentation at the Node.js meetup about Azure functions.,2017-06-01,2017-06-01T00:00:00.000Z,2017-06-01T00:00:00.000Z
local-17,Azure Functions,Platforms,Project Work,3,I am experienced in building Javascript based serverless functions.,2018-08-01,2018-08-01T00:00:00.000Z,2018-08-01T00:00:00.000Z
local-18,Azure Functions,Platforms,Project Work,1,Building a tiny serverless app in the context of cryptocurrencies.,2017-06-01,2017-06-01T00:00:00.000Z,2017-06-01T00:00:00.000Z
local-19,bash,Frameworks,Self Study,2,Switched my default terminal to zsh using oh-my-zsh,2017-12-01,2017-12-01T00:00:00.000Z,2017-12-01T00:00:00.000Z
local-20,bash,Frameworks,Project Work,2,Through increased involvement in defining CI/CD workloads and jobs I had to deepen my knowledge of bash and shell scripting.,2017-06-01,2017-06-01T00:00:00.000Z,2017-06-01T00:00:00.000Z
local-21,bash,Frameworks,Self Study,1,Switching from Windows to MacOS results in a lot more bash usage and even creating custom dotfiles,2016-10-01,2016-10-01T00:00:00.000Z,2016-10-01T00:00:00.000Z
local-22,c++,Frameworks,Project Work,1,During a demo conference I build my first 3D demo written in C++ without the usage of any 3D libraries.,2018-04-01,2018-04-01T00:00:00.000Z,2018-04-01T00:00:00.000Z
local-23,CI/CD,Patterns & Practices,Project Work,5,Extensively using GitHub Actions for my private & work projects,2020-02-01,2020-02-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
local-24,CI/CD,Patterns & Practices,Project Work,5,Migrating multiple services at work and from my private portfolio across CI services like GitLab Drone Travis Circle CI and Azure Pipelines I am familiar with a wide range of services and best practice patterns how to implement pipelines as code.,2019-08-01,2019-08-01T00:00:00.000Z,2019-08-01T00:00:00.000Z
local-25,CI/CD,Patterns & Practices,Project Work,3,Several years experience implementing automated tests code analysis and deployment using various platforms.,2018-08-01,2018-08-01T00:00:00.000Z,2018-08-01T00:00:00.000Z
local-26,CI/CD,Patterns & Practices,Project Work,2,Introducing automated testing and build to a Node.js project using Jenkins.,2014-11-01,2014-11-01T00:00:00.000Z,2014-11-01T00:00:00.000Z
local-27,CI/CD,Patterns & Practices,Self Study,1,Learning the basics of testing in general. Developing test guidelines environments and test cases for ECU software. My main goal was already then to automate as much as possible and being able to create reproducable results.,2011-04-01,2011-04-01T00:00:00.000Z,2011-04-01T00:00:00.000Z
local-28,Cloudfoundry,Platforms,Project Work,3,After several months of developing applications in a microservice approach for a cloudfoundry runtime I was quite familiar with the environment and optimized my local toolset to be able to work efficiently with cloudfoundry.,2017-11-01,2017-11-01T00:00:00.000Z,2017-11-01T00:00:00.000Z
local-29,Cloudfoundry,Platforms,Self Study,1,My first contact with Cloudfoundry. I was in charge of designing a solution on top of Cloudfoundry and come up with a Microservice architecture derived from business requirements.,2015-07-01,2015-07-01T00:00:00.000Z,2015-07-01T00:00:00.000Z
local-30,Data Analytics,Patterns & Practices,Self Study,2,Through the Udacity Artificial Intelligence program I refreshed my knowledge in data analytics and got introduced to current level of the art tools in the Python ecosystem.,2018-02-01,2018-02-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
